OBJECTID,FACILITYID,INSTALLDATE,LOCDESC,ROTATION,NAME,OPDATE,STRUCTTYPE,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,AncillaryRole,geometry,ResourceID
1,2,19910101,925 N Loomis,,Loomis/Ogden,,Backflow Prevention,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.14122559252473 41.78630741952216),48d2a083-3964-4dd4-a510-aefa25bb6537
2,7,19970101,725 Highland Av,,Julian/Highland,,Backflow Prevention,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.1365344324996 41.77210463576931),cd0a4fbb-3af3-423d-ad33-870d7ff8f66c
3,8,19970101,725 Highland Av,,Julian/Highland,,Backflow Prevention,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.13657116395898 41.77209287059573),32b5d72b-f48c-45f1-80b0-d6dad9847e4f
4,13,19910101,925 N Loomis,,Loomis/Ogden,,Backflow Prevention,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.14122435156855 41.78628104404156),e7afaec3-46a2-4360-848a-18f964f00315
5,136877,19980101,7S259 River Rd,,River,,Monitoring Well,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.17446538896888 41.76566005450912),d9d4c24b-8f67-4191-bef3-d9f3dc1ef416
6,136879,19980101,513 N River,,Nwps,,Monitoring Well,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.18000873083261 41.78081929107867),021f8a04-b950-45d7-aa22-d66bc1945597
7,136884,19980101,Fredenhagen Park,,Riverview North,,Monitoring Well,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.14752357507496 41.77027406308377),e2cf7d94-f18b-4fff-bb3a-d8006001bc90
8,136885,19980101,27W280 Bauer,,Bauer/mill,,Monitoring Well,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.15428795355515 41.794564316766994),bd04f5e9-14e4-47ad-8ee6-575a2f74a7b9
9,136886,19980101,704 Prescott Ct,,Prescott,,Monitoring Well,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.17294210267251 41.78266581858981),0f5c4937-98ac-475c-a2a0-7d77fb4793a5
10,124960,19890101,300 N Charles,,Barclay Manor,,Lift Station,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.12885345125059 41.77863847526275),7700481d-8dec-487f-8fcf-5236a2e18743
11,124962,19830101,1200 W Ogden,,West Ogden,,Lift Station,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.17480073745409 41.781767781561356),456f8f74-ce51-4493-9aea-30bf4ccf4b60
12,124963,19620101,1033 W Jefferson Ave,,West Jefferson,,Lift Station,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.16579630083461 41.773398143105084),a367738d-32ca-488a-b869-b9664109767c
13,211294,20090101,33 S Huffman,,Huffman Lift Station,,Lift Station,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.13536864044531 41.77378141859143),b510d15f-8337-4d39-a6eb-bdc99176f4fb
14,57764,19860101,,,Unknown,,Grease Separator,True,True,Private,Private,20100423093944,Esri,None,POINT (-88.13195282386914 41.78917053020331),b6188650-fb33-4adf-aac9-a49617309115
15,202188,20040101,,,Unknown,,Grease Separator,True,True,Private,Private,20100423093944,Esri,None,POINT (-88.16472389252897 41.79127268377488),2872756a-9dab-4664-995b-642e953d1361
16,202189,20040101,,,Unknown,,Grease Separator,True,True,Private,Private,20100423093944,Esri,None,POINT (-88.16471467996897 41.79127010422359),03588eff-b3df-4def-b077-fb633afb0f04
17,202190,20040101,,,Unknown,,Grease Separator,True,True,Private,Private,20100423093944,Esri,None,POINT (-88.16470616655438 41.79126700979073),a664f9f2-0ca5-4250-8b08-3846face842e
18,RIVERVIEW,19980101,324 S Washington,,QTL,,Flow Meter,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.14750483742824 41.770260566925614),2a397be6-b697-4a73-90ab-0812633c807b
19,removed,19980101,,,QPO,,Flow Meter,False,False,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.14737653411083 41.76550377250484),eadd12f8-af21-4ecc-850b-997532da3388
20,NWPS,19980101,513 N River,,AHO/ACO,,Flow Meter,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.18000873083261 41.78081929107867),ca26d8b7-a520-4f75-9f33-b854e2c15d92
21,NPS INT,19980101,1200 W Ogden,,QP4,,Flow Meter,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.17190663908438 41.78070527578516),a7bd5d18-70de-4c26-8e75-a3e3ff951029
22,NOC,19980101,1200 W Ogden,,ALU,,Flow Meter,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.1727573806457 41.78212218707435),e31c0e71-b8eb-4d76-81db-7f5a26de855a
23,PRESCOTT,19980101,Behind 704 Prescott,,QQB,,Flow Meter,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.17288981525735 41.78268152533924),4da16cf0-5762-4045-9c01-a884f13b7603
24,BAUER MILL,19980101,27W280 Mill,,Q08,,Flow Meter,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.15428795355515 41.794564316766994),a294caf7-7930-46fb-8fb4-a6e330e9a4a9
25,211852,000000,820 Burning Tree,,,,Flow Meter,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.16408124767834 41.78948232333675),fdb56f25-ed39-411f-8211-da46c330bf9a
26,211853,000000,345 W Ogden,,,,Flow Meter,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.15229038628904 41.78597108196167),65696849-2844-476a-bea1-1978ad2a7f53
27,211854,000000,Wash/Ogden ,,,,Flow Meter,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.14646769446831 41.78585515041765),c8cfcb9e-a92e-4b6c-a973-a436f2a10ae1
28,211855,000000,1005 Eagle,,,,Flow Meter,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.1507548470074 41.78685983482252),58e1c2ca-1271-435b-8dde-0ed9f5397f18
29,211857,000000,NCC Athletic Field  N of 505 Riverview Dr,,,,Flow Meter,True,True,Our Agency,Our Agency,20100423093944,Esri,None,POINT (-88.14595293741765 41.768140777389526),09a7fd80-79c7-495c-81cd-1ce744a29e97
30,,,,,,,Treatment Plant,True,True,Our Agency,Our Agency,,Esri,Sink,POINT (-88.17580797563085 41.765018109318056),8cb480c2-7bcc-4c43-8fa8-2dcd126bd3ec
31,,,,,,,Pump Station,True,True,Our Agency,Our Agency,,Esri,None,POINT (-88.17291388010672 41.78235135537784),c9416cb7-950b-4a36-9c48-b9460ed960e6
